Fair Name,Street Address ,City ,State ,Zip, Start  Date,End  Date,Fair Location,County ,Web Site ,Location 1
Afton Fair,42 E. Main Street,Afton,NY,13730,July 09 2015,July 11 2015,Afton,Chenango,http://www.theaftonfair.com,"42 E. Main Street
Afton, NY 13730
(42.22152702400007, -75.52186764499999)"
Allegany County Fair,15 North Street,Angelica,NY,14709,July 13 2015,July 18 2015,Angelica,Allegany,http://www.alleganycountyfair.org,"15 North Street
Angelica, NY 14709
(42.329805875000034, -77.99161595099997)"
Altamont Fair,129 Grand Street,Altamont,NY,12009,August 11 2015,August 16 2015,Altamont,Albany,http://www.altamontfair.com,"129 Grand Street
Altamont, NY 12009
(42.69896594000005, -74.02823478499994)"
Boonville-Oneida County Fair,222 Schuyler Street,Boonville,NY,13309,July 28 2015,August 02 2015,Boonville,Oneida,http://www.frontiernet.net/~boonvillefair/,"222 Schuyler Street
Boonville, NY 13309
(43.48613458700004, -75.32896506599997)"
Broome County Fair,2939 Rt 11,Whitney Point,NY,13862,July 28 2015,August 02 2015,Whitney Point,Broome,http://www.broomecountyfairny.com,"2939 Rt 11
Whitney Point, NY 13862
(42.33591515200004, -75.97367585199999)"
Cattaraugus County Fair,501 Erie Street,Little Valley,NY,14755,August 03 2015,August 09 2015,Little Valley,Cattaraugus,http://www.cattarauguscofair.com,"501 Erie Street
Little Valley, NY 14755
(42.25337660900004, -78.80745109799994)"
Cayuga County Fair,1 Speedway Drive,Weedsport,NY,13166,July 10 2015,July 12 2015,Weedsport,Cayuga,http://www.cayugacountyfair.org,"1 Speedway Drive
Weedsport, NY 13166
(43.056093944000054, -76.54699770299999)"
Chautauqua County Fair,1089 Central Ave,Dunkirk,NY,14048,July 27 2015,August 02 2015,Dunkirk,Chautauqua,http://www.chautauquacountyfair.org,"1089 Central Ave
Dunkirk, NY 14048
(42.461153040000056, -79.33373900699996)"
Chemung County Fair,170 Fairview Ave,Horsehead,NY,14845,August 04 2015,August 09 2015,Horseheads,Chemung,http://www.chemungcountyfair.com,"170 Fairview Ave
Horsehead, NY 14845
(42.14377582100008, -76.81829968199997)"
Chenango County Fair,168 E. Main Street,Norwich,NY,13815,August 11 2015,August 16 2015,Norwich,Chenango,http://www.chenangocountyfair.homestead.com,"168 E. Main Street
Norwich, NY 13815
(42.532411670000045, -75.50856892799999)"
