"County","Workforce_Information_Act_Regions","Name","Street_Address","City","State","ZIP","Phone","Fax","Email","URL","Hours","Parking","Public_Transit_Access","Directions","Location_1"
"Albany","Capital Region","Career Central","175 Central Avenue ","Albany","New York","12206","(518) 462-7600, Ext. 162","(518) 447-5967","dougl@capreg.org","http;//www.capreg.org","M-F; 8;30 a.m. - 5;00 p.m.","Street","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=175+central+ave+albany+ny+12206 and sll=37.0625,-95.677068 and sspn=32.80241,56.337891 and ie=UTF8 and ll=42.663125,-73.768559 and spn=0.007432,0.013754 and t=h and z=16 and iwloc=A",
"Allegany","Cattaraugus-Allegany Counties","Allegany County Employment and Training Center","7 Wells Lane ","Belmont","NY","14813","(585) 268-9441","(585) 268-9237","lynchr@alleganyco.com","http;//www.alleganyco.com","M-F; 8;00 a.m. - 4;00 p.m.","Private Lot and Street","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and q=7+Wells+Ln,+Belmont,+Allegany,+New+York+14813 and sll=42.663125,-73.768559 and sspn=0.007432,0.013754 and ie=UTF8 and cd=2 and geocode=Fa1GhAIdZ05Z-w and split=0 and ll=42.2241,-78.033915 and spn=0.007484,0.013754 and t=h and z=16 and iwloc=A",
"Bronx","New York City","Hunts Point Workforce1 Career Center","1029 E 163rd Street, Floor 3","Bronx","New York","10459","(718) 542-6777","","Workforce1HuntsPoint@vipservices.org","http;//www.nyc.gov/workforce1","M-F; 9;00 a.m. - 5;00 p.m.","","","http;//maps.google.com/maps?hl=en and gl=us and bav=on.2,or.r_qf. and bvm=bv.47008514,d.aWM and biw=1330 and bih=839 and safe=active and q=1029+E+163rd+Street,+Floor+3+bronx+ny and um=1 and ie=UTF-8 and hq= and hnear=0x89c2f5ab2b31eff7;0x311cb7f89beca09c,1029+E+163rd+St,+Bronx,+NY+10459 and gl=us and daddr=1029%20E%20163rd%20St,%20Bronx,%20NY%2010459 and sa=X and ei=6c6fUZrwO838qAHZ7oDICg and ved=0CC0QwwUwAA",
"Bronx","New York City","Workforce 1 Career Center","400 E.Fordham Road 8 th Floor","Bronx","New York","10458","(718) 960-7901","","","http;//www.nyc.gov/workforce1","M-F; 8;30 a.m. - 5;00 p.m.","","Bus and Subway","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=358+East+149th+St.+Bronx,+NY and sll=40.822653,-73.915964 and sspn=0.00768,0.013754 and g=358+East+158th+St.+Bronx,+NY and ie=UTF8 and ll=40.818681,-73.919063 and spn=0.007275,0.013754 and t=h and z=16 and iwloc=r0",
"Broome","Broome-Tioga Counties","Broome-Tioga Workforce New York","171 Front Street ","Binghamton","New York","13905","(607) 778-2136","(607) 778-6442","btworks@labor.ny.gov","http;//www.broometiogaworks.com","M-Th; 8;00 a.m. - 5;00 p.m.; F; 8;00 a.m. - 4;00 p.m. (8;00 a.m. - 4;00 a.m. beginning 5/27/2014)","Private Lot","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=171+Front+St.+Binghamton+NY and sll=37.0625,-95.677068 and sspn=32.939885,56.337891 and ie=UTF8 and ll=42.102473,-75.916643 and spn=0.00753,0.013754 and t=h and z=16 and iwloc=A",
"Cattaraugus","Cattaraugus-Allegany Counties","Cattaraugus Career Center","175 North Union Street Suite 4","Olean","New York","14760","(716) 373-1880","(716) 375-2895","blmarvin@cattco.org","http;//www.cattco.org/one-stop","M-F; 8;00 a.m. - 5;00 p.m.","Private Lot and Street","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=175+North+Union+St.+Olean+NY and sll=42.102473,-75.916643 and sspn=0.00753,0.013754 and g=171+Front+St.+Binghamton+NY and ie=UTF8 and ll=42.080292,-78.432233 and spn=0.007533,0.013754 and t=h and z=16 and iwloc=A",
"Cayuga","Cayuga-Cortland Counties","Cayuga Works Career Center","199 Franklin Street Suite 204","Auburn","New York","13021","(315) 253-1590","(315) 253-1135","akubarek@cayugacounty.us","http;//www.cortland-co.org/cayugaworks/cayugahome.asp","M-F; 8;30 a.m. - 5;00 p.m.","","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=199+Franklin+St.+Auburn+NY and sll=42.080292,-78.432233 and sspn=0.007533,0.013754 and ie=UTF8 and ll=42.942853,-76.543379 and spn=0.00743,0.013754 and t=h and z=16 and iwloc=A",
"Chautauqua","Chautauqua County","Chautauqua Works","407 Central Avenue ","Dunkirk","New York","14048","(716) 366-9015","(716) 366-0502","kgeise@chautauquaworks.com","http;//www.chautauquaworks.com","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot and Street","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=323+central+ave+dunkirk+ny and sll=37.09024,-95.712891 and sspn=32.80241,56.337891 and ie=UTF8 and ll=42.485865,-79.33485 and spn=0.007453,0.013754 and t=h and z=16 and iwloc=A",
"Chautauqua","Chautauqua County","Jamestown Career Center","23 E. 3rd Street ","Jamestown","New York","14701","(716) 661-9553","(716) 664-9184","kgeise@chautauquaworks.com","http;//www.chautauquaworks.com","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot and Street","Bus","http;//maps.google.com/maps?hl=en and gl=us and bav=on.2,or.r_qf. and bvm=bv.47008514,d.eWU and biw=1330 and bih=839 and safe=active and q=23+E.+3rd+Street+jamestown+ny and um=1 and ie=UTF-8 and hq= and hnear=0x89d2a8e39d919843;0xc557366dcd9ad48b,23+E+3rd+St,+Jamestown,+NY+14701 and gl=us and daddr=23%20E%203rd%20St,%20Jamestown,%20NY%2014701 and sa=X and ei=wdCfUbHoNorSqQG_kIHoAw and ved=0CC0QwwUwAA",
"Chemung","Chemung-Schuyler-Steuben Counties","Elmira Career Center","Chemung/Schuyler/Steuben Workforce Development 318 Madsion Avenue","Elmira","New York","14901","(607)733-7131","(607)737-0890","madden@corning-cc.edu","http;//www.csswfny.com","M-F; 8;30 a.m. - 4;30 p.m","","","http;//maps.google.com/maps?bav=on.2,or.r_qf. and bvm=bv.47008514,d.dmQ and biw=1330 and bih=839 and safe=active and q=318+madison+avenue+elmira+ny and um=1 and ie=UTF-8 and hq= and hnear=0x89d01536f4264779;0xc42b0393cf322106,318+Madison+Ave,+Elmira,+NY+14901 and gl=us and daddr=318%20Madison%20Ave,%20Elmira,%20NY%2014901 and sa=X and ei=EdekUeSuLqT90gHhkICICA and ved=0CC0QwwUwAA",
"Chenango","Chenango-Delaware-Otsego Counties","CDO Workforce","1 Ohara Drive ","Norwich","New York","13815","(607) 334-2201, Ext. 128","(607) 334-6540","gwaffle_oet@adelphia.net","http;//www.cdoworkforce.org","M-F; 8;30 a.m. - 5;00 p.m.","Street","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=1+ohara+drive+norwich,+ny and sll=42.093892,-76.801858 and sspn=0.007531,0.013754 and ie=UTF8 and ll=42.52149,-75.519505 and spn=0.00748,0.013754 and t=h and z=16 and iwloc=A",
"Clinton","North Country","OneWorkSource","194 US Oval ","Plattsburgh","New York","12903","(518) 561-0430 or Toll Free; (1)866-967-5768","(518) 561-9566","Sheri.Sauve@labor.ny.gov","http;//www.oneworksource.com","M-F; 8;00 a.m. - 4;00 p.m.","Private Lot","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=194+us+oval+plattsburgh+ny and sll=42.547769,-75.503197 and sspn=0.119636,0.22007 and ie=UTF8 and ll=44.684331,-73.449097 and spn=0.003608,0.006877 and t=h and z=17",
"Columbia","Columbia-Greene Counties","Columbia / Greene Community College","4400 Route 23 ","Hudson","New York","12534","(518) 828-4181, Ext. 5510","(518) 822-2007","wiltse@sunycgcc.edu","http;//www.columbiagreenworks.org","M-F; 8;30 a.m. - 5;00 p.m.","Private Lot","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=4400+rte+23+hudson+ny and sll=44.684331,-73.449097 and sspn=0.003608,0.006877 and ie=UTF8 and ll=42.222924,-73.816817 and spn=0.007119,0.013754 and t=h and z=16 and iwloc=r0",
"Cortland","Cayuga-Cortland Counties","Cortland Works Career Center","99 Main Street ","Cortland","New York","13045","(607) 756-7585","(607) 756-5531","rsandwick@cortland-co.org","http;//www.cortland-co.org/cortlandworks/cortlandhome.asp","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot and Street","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=99+main+st+cortland+ny and sll=42.222924,-73.816817 and sspn=0.007119,0.013754 and ie=UTF8 and ll=42.598374,-76.180058 and spn=0.001868,0.003439 and t=h and z=18 and iwloc=A",
"Delaware","Chenango-Delaware-Otsego Counties","CDO Workforce","1 Gallant Avenue ","Delhi","New York","13753","(607)746-7477","(607)746-7106","fred.barkalow@co.delaware.ny.us","http;//www.cdoworkforce.org","M-F; 8;30 a.m. - 5;00 p.m.","Private Lot and Street","","http;//www.google.com/maps?f=q and source=s_q and hl=en and q=1+Gallant+Ave,+Delhi,+Delaware,+New+York+13753 and sll=42.598374,-76.180058 and sspn=0.001868,0.003439 and ie=UTF8 and cd=1 and geocode=FVAphQIdDPOI-w and split=0 and ll=42.282064,-74.910901 and spn=0.003556,0.006877 and t=h and z=17 and iwloc=r0",
"Delaware","Chenango-Delaware-Otsego Counties","CDO Workforce","21 Liberty Street ","Sidney","New York","13838","(607)561-7550","(607)563-9612","deloetmg@stny.rr.com","http;//www.cdoworkforce.org","M-F; 8;30 a.m. - 5;00 p.m.","","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=21+Liberty+Street+sidney+ny and sll=42.317061,-75.390499 and sspn=0.007505,0.013754 and ie=UTF8 and ll=42.317876,-75.390501 and spn=0.007505,0.013754 and t=h and z=16 and iwloc=A",
"Dutchess","Dutchess County","Dutchess Career Center","191 Main Street ","Poughkeepsie","New York","12601","(845) 473-9000","(845) 471-6942","Donald.Lucarello@labor.state.ny.us","http;//www.dutchessonestop.org","M-F; 8;30 a.m. - 5;00 p.m.","Street","Bus ","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=233+main+street+poughkeepsie and sll=42.282064,-74.910901 and sspn=0.003556,0.006877 and ie=UTF8 and ll=41.705264,-73.929684 and spn=0.007577,0.013754 and t=h and z=16 and iwloc=A",
"Erie","Erie County","Buffalo Career Center","284 Main Street ","Buffalo","New York","14202","(716) 851-2600","(716) 851-2638","carolyn.bright@labor.state.ny.us","http;//www.wdcinc.org/Job/assistance.asp","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot and Street","Bus/Subway","http;//maps.google.com/maps?q=284+main+st+buffalo+ny and aq=f and um=1 and hl=en and safe=active and ie=UTF-8 and sa=N and tab=wl",
"Erie","Erie County","Buffalo Employment  and  Training Center","77 Goodell Street ","Buffalo","New York","14203","(716) 856-5627","(716) 856-5670","betc@wdcinc.org","http;//www.workforcebuffalo.org","M,W,Th-F;  8;30 a.m. - 4;30 p.m., T; 8;30 a.m. - 8;00 p.m.","Private Lot","Bus, Subway","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=77+goodell+st+buffalo and sll=41.705264,-73.929684 and sspn=0.007577,0.013754 and ie=UTF8 and ll=42.895271,-78.868833 and spn=0.007435,0.013754 and t=h and z=16 and iwloc=A",
"Erie","Erie County","Erie Community College Career Center","Gleasner Hall, Room 166 6205 Main St","Williamsville","New York","14221","(716) 270-4444","(716) 825-6076","onestop@ecc.edu","http;//www.ecc.edu/workforce/onestop","M,W,F; 8;00 a.m. - 4;30 p.m., T,Th; 8;00 a.m. - 6;00 p.m.","Private Lot","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=3176+abbott+rd+orchard+park+ny and sll=42.783528,-78.790061 and sspn=0.007449,0.013754 and g=3716+abbott+rd+orchard+park+ny and ie=UTF8 and cd=1 and ll=42.799935,-78.7977 and spn=0.007447,0.013754 and t=h and z=16 and iwloc=A",
"Erie","Erie County","Williamsville Career Center","4175 Transit Road Transitown Plaza","Williamsville","New York","14221","(716) 634-9081","(716) 634-9262","","http;//www.wdcinc.org/Job/assistance.asp","M-F; 8;30 a.m. - 4;30 p.m.","Yes","Yes","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=4175+Transit+Road+williamsville+ny and sll=40.761382,-73.534906 and sspn=0.007688,0.013754 and g=301+W.+Old+Country+Road+hicksville+ny and ie=UTF8 and t=h and z=14",
"Essex","North Country","Elizabethtown One Work Source Center","103 Hand Avenue Suite 1 P.O. Box 607 ","Elizabethtown","New York","12932","(518) 873-2341 or Toll Free; (1)800-675-2668","(518) 873-2392","egordon@acapinc.org","http;//www.oneworksource.com","M-Th; 8;30 a.m. - 4;00 p.m., F; 9;00 a.m. - 3;30 p.m.","Street","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=103+hand+avenue+suite+elizabethtown+ny and sll=42.799935,-78.7977 and sspn=0.007447,0.013754 and ie=UTF8 and ll=44.215148,-73.591436 and spn=0.003445,0.006877 and t=h and z=17 and iwloc=r1",
"Franklin","North Country","Malone One Work Source Center","158 Finney Boulevard ","Malone","New York","12953","(518) 481-5755 Ext.3017  Toll Free; 1-877-410-5751","(518) 483-0740","jcampbel@mail.fehb.org","http;//www.oneworksource.com","M; 8;00 a.m. - 7;00 p.m., T,W,Th; 8;00 a.m. - 4;00 p.m., F; 8;00 a.m. - 4;00 p.m. (Summer), M-F; 8;00 a.m. - 4;00 p.m. (end of summer)","Private Lot","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=158+finney+boulevard+malone+ny and sll=44.215148,-73.591436 and sspn=0.003445,0.006877 and ie=UTF8 and ll=44.841196,-74.3019 and spn=0.003408,0.006877 and t=h and z=17 and iwloc=r3",
"Franklin","North Country","Saranac Lake Career Center","72 Woodruff Street ","Saranac Lake","New York","12983","(518) 891-2065","","","","T-W; 9;00 a.m. - 3;30 p.m.","Private Lot","","https;//maps.google.com/maps?q=72+woodruff+st+saranac+lake,+ny and safe=active and ie=UTF-8 and ei=Wo1FU-j2N7SrsQT-6oGQCg and ved=0CAgQ_AUoAQ",
"Fulton","Fulton-Montgomery-Schoharie","Gloversville Workforce Solutions","43-47 North Main Street ","Gloversville","New York","12078","(518) 234-4254","(518) 773-4209","maryh@fmsworkforcesolutions.org","http;//www.fmsworkforcesolutions.org","M,F; 8;30 a.m. - 4;30 p.m. - Youth/GED classes  M-F; 8;30 a.m. - 4;30 p.m. - Resource Room OpenClosed Friday, December 5, 2014 from 12;00 p.m. - 2;30 p.m.","Private Lot","Bus","https;//maps.google.com/maps?q=43-47++n+main+st+gloversville+ny and bav=on.2,or.r_qf. and bvm=bv.45175338,d.b2I and biw=1330 and bih=839 and safe=active and um=1 and ie=UTF-8 and hl=en and sa=N and tab=wl",
"Genesee","Genesee-Livingston-Orleans-Wyoming Counties","Genesee County Career Center","587 East Main Street Suite 100 Eastown Plaza ","Batavia","New York","14020","(585) 344-2042","(585) 344-3266","sgage@co.genesee.ny.us","http;//glowworks.org/","M-F; 8;30 a.m. - 5;00 p.m.","Private Lot","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and q=587+E+Main+St,+Batavia,+Genesee,+New+York+14020 and sll=43.045072,-74.349954 and sspn=0.007417,0.013754 and ie=UTF8 and cd=1 and geocode=FXYRkAIdf05X-w and split=0 and ll=42.996424,-78.164656 and spn=0.007423,0.013754 and t=h and z=16 and iwloc=A",
"Herkimer","Herkimer-Madison-Oneida","Working Solutions Career Center","320 N. Prospect Street ","Herkimer","New York","13350","(315) 867-1400","","kzipko@herkimercounty.org","http;//www.working-solutions.org/","M-F; 8;00 a.m. - 5;00 p.m. (M-F; 8;00 a.m. - 5;00 p.m. for Memorial Day - Labor Day )","","","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=3+n.+prospect+st+herkimer+ny and sll=40.709044,-73.618376 and sspn=0.007694,0.013754 and ie=UTF8 and ll=43.020149,-75.04926 and spn=0.00742,0.013754 and t=h and z=16 and iwloc=A",
"Jefferson","Jefferson-Lewis","The Work Place","1000 Coffeen Street ","Watertown","New York","13601","(315) 782-9252","(315) 782-2073","c.mayforth@co.jefferson.ny.us","http;//www.jefflewisworkforce.com","M-F; 8;30 a.m. - 4;30 p.m.","Private Lot","Bus","http;//www.google.com/maps?f=q and source=s_q and hl=en and geocode= and q=1222+coffeen+st+watertown+ny and sll=42.835975,-73.536177 and sspn=0.001861,0.003439 and ie=UTF8 and ll=43.988291,-75.940118 and spn=0.007302,0.013754 and t=h and z=16 and iwloc=A",
