"Region","County","Site_Name_Title","Description","Latitude","Longitude","Statewide_PTH_Site_Theme_Tag","Website_URL","Photo_URL","Town_City_Village","Address","State","Zip_Code","Phone","Location"
"Capital-Saratoga","Albany","Albany Heritage Area Visitor Center","The Albany Heritage Area Visitors Center, located in historic Quackenbush Square, features exhibits, an orientation film and tours which provide an overview of the history of Albany. Guided and self-guided tours are also available via trolley, bus and walking tours. The staffed center is also the home of the Henry Hudson Planetarium.","42.6544902","-73.7483527","Arts and Culture","http;//www.albany.org/visitorcenter","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/1.jpg","Albany","25 Quackenbush Square","NY","12207","518-434-0405","(42.654490199999998, -73.748352699999998)"
"Capital-Saratoga","Albany","Albany Institute of History and Art","Founded in 1791, during the presidency of George Washington, making it older than the Louvre, the Smithsonian,  and  the Metropolitan Museum of Art. Dedicated to collecting, preserving, interpreting and promoting interest in the history, art  and  culture of Albany and the Upper Hudson River Valley Region.","42.6557014","-73.7602385","Arts and Culture","http;//www.albanyinstitute.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/2.jpg","Albany","125 Washington Avenue","NY","12210","518-463-4478 x 404","(42.655701399999998, -73.7602385)"
"Capital-Saratoga","Albany","Albany Pine Bush Preserve  and  Discovery Center","The Albany Pine Bush represents of the best remaining examples of an inland pine barrens ecosystem in the world.  This gently rolling sand plain is home to a unique diversity of rare animals and plants, including 45 wildlife Species of Greatest Conservation Need in NYS.  The Discovery Center provides visitors with interactive exhibits and activities, while staff and volunteers help visitors learn about the unique characteristics of the Pine Bush and nurture a sense of stewardship for the Preserve.","42.7191182","-73.8656537","Natural History","http;//www.albanypinebush.org/discovery-center","","Albany","195 New Karner Road","NY","12205","518-456-0655 x1211","(42.719118199999997, -73.865653699999996)"
"Capital-Saratoga","Albany","Albany Rural Cemetary","Incorporated in 1841 and dedicated in 1844, Albany Rural Cemetery is a blend of generations of citizens originally interred in early burying grounds and a modern active burying ground.  A President of the U.S. is joined by 5 Governors, 3 members of the Continental Congress, 2 members of the Philadelphia Constitutional Convention, 13 members of the Colonial Assembly, 8 Presidential Cabinet members, 5 Ambassadors and many Senators, Comgressmen and Judges.  Tours are offered.","42.7016346","-73.7166024","Arts and Culture","http;//www.albanyruralcemetery.org","","Menands","1 Cemetery Ave","NY","12204","518-463-7017","(42.701634599999998, -73.716602399999999)"
"Capital-Saratoga","Albany","American Italian Heritage Museum  and  Cultural Center","Learn about the achievements and contributions of Italian-Americans through cultural programs, activities and exhibits.  Celebrate and explore Italian heritage, history and culture.","42.6964514","-73.8079686","Arts and Culture","http;//www.americanitalianmuseum.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/6.jpg","Albany","1227 Central Avenue","NY","12205","518-435-1979","(42.696451400000001, -73.807968599999995)"
"Capital-Saratoga","Albany","Cohoes Falls View Park","The second largest falls in New York State after Niagara.  View the natural beauty of this falls formed by glaciers thousands of years ago.  The area is now owned and operated as a Hydro-electric power plant.  Interpretive signage tells the story of the Falls and their Important part in the Industrial revolution in Cohoes.  A lower viewing area is open on weekends weather permitting.","42.7839764","-73.7096165","Natural History","http;//www.friendsofcohoes.com","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/19.jpg","Cohoes","231-341 No Mohawk Street","NY","12047","518-233-2117","(42.7839764, -73.709616499999996)"
"Capital-Saratoga","Albany","Corning Preserve","The Corning Preserves visitors center details the ecology of the Hudson River, tides, and the local environment. Albany Riverfront Park, opened in 2002, hosts numerous events, Spring through Fall, including Thursday night Alive at Five concert series and the Albany Riverfront Jazz Festival.  With easy access provided by the Hudson River Way Pedestrian Bridge, Albany Riverfront Park has an amphitheatre with performance space and seating for more than 1,000, a new bulkhead, floating boat docks, and an 8.67 mi. bicycle path.","42.65118","-73.746087","Natural History","http;//www.albany.org/listings/Albany-Corning-Preserve---Riverfront-Park/159/","","Albany","Along the Hudson River","NY","12207","518-434-5412","(42.651179999999997, -73.746087000000003)"
"Capital-Saratoga","Albany","Executive Mansion","The New York State Executive Mansion is the official residence of the Governor of New York. The Italianate building was constructed in 1856 and Samuel Tilden became the first governor to reside in the house in 1875. Guided tours of the mansion are available by reservation only. Tours of Governors residence are offered on Thursdays at 10am, 11am  and  12 pm. with 2 weeks advance notice. Tours are not offered during July and August.","42.6465863","-73.7602653","Arts and Culture","http;//www.ogs.ny.gov/ESP/CT/Tours/Mansion.asp","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/25.jpg","Albany","138 Eagle Street","NY","12202","518-473-7521","(42.646586300000003, -73.7602653)"
"Capital-Saratoga","Albany","Five Rivers Environmental Education Center","Five Rivers Environmental Ed Center is a living museum comprising over 450 acres of broad fields, towering  forests, and tranquil wetlands.  It offers people of all ages a rich variety of guided and self-guided opportunities to encounter nature directly.","42.6086211","-73.8891925","Natural History","http;//www.dec.ny.gov/education/1835.html","","Delmar","56 Game Farm Rd","NY","12054","518-475-0291","(42.608621100000001, -73.889192499999993)"
"Capital-Saratoga","Albany","Historic Cherry Hill","Built in 1787, Cherry Hill has been the home of 5 generations of the Van Rensselaer and Rankins families.  The Van Rensselaer-Rankin familys collection of personal papers and possessions during their 176 year occupancy at Cherry Hill are  housed and on display at the home.  The Van Rensselaers were part of a group of wealthy and powerful families known as the Hudson River manor lords.","42.6350447","-73.7624202","Colonial History","http;//www.historiccherryhill.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/38.jpg","Albany","523  South Pearl Street","NY","12202","518-434-4791","(42.635044700000002, -73.762420199999994)"
"Capital-Saratoga","Albany","Irish American Heritage Museum","The Irish American Museum is dedicated to preserving and telling the story of the contributions of the Irish people and their culture in America, inspiring individuals to examine the importance of their own heritage as part of the American cultural mosaic.  Visitors to the museum can enjoy exhibits, the Paul ODwyer Library, lectures, presentations, film screenings, book signings and other special programs.","42.6472314","-73.7506485","Arts and Culture","http;//www.irishamericanheritagemuseum.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/40.jpg","Albany","370 Broadway","NY","12207","518-427-1916","(42.647231400000003, -73.750648499999997)"
"Capital-Saratoga","Albany","John Boyd Thacher State Park","The park is situated along the Helderberg Escarpment, one of the richest fossil-bearing formations in the world.  With over 12 miles of trails and six miles of limestone cliff-face, rock-strewn slopes, woodland and open fields, the park provides a marvelous panorama of the Hudson-Mohawk Valley and the Adirondack and Green Mountains.  Interpretive programs are offered year round, including guided tours of the famous Indian Ladder Trail.","42.6458514","-74.0127884","Natural History","http;//www.nysparks.com","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/41.jpg","Voorheesville","1 Hales Cave Rd","NY","12186","518-872-1237","(42.645851399999998, -74.012788400000005)"
"Capital-Saratoga","Albany","New York State Museum","The nations largest and oldest state museum, the NYS Museum hosts innovative exhibitions and programs that serve more than 750,000 visitors annually. The past comes to life as the Museums permanent exhibitions combine the expertise of curators, historians, archaeologists, geologists, biologists, designers, artists, paleontologists, ethnologists and other professionals to produce outstanding life-size dioramas such as the full-sized Iroquois longhouse. Many of the Museums exhibitions can be found online at www.nysm.nysed.gov.","42.648395","-73.7606173","Arts and Culture","http;//www.nysm.nysed.gov","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/65.jpg","Albany","260 Madison Avenue","NY","12230","518-474-5877","(42.648395000000001, -73.760617300000007)"
"Capital-Saratoga","Albany","NYS Capitol","Built between 1867 and 1899, the State Capitol, a National Historic Landmark, is a stunning example of 19th century architecture, noted for intricate and elaborate carvings, and blending Renaissance, Romanesque, and French Renaissance Revival styles. It has been the seat of NYS government for more than a century and is associated with many important people and events in state and national history.","42.6514814","-73.7548485","Arts and Culture","http;//www.ogs.ny.gov","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/63.jpg","Albany","25 Eagle Street","NY","12230","518-474-2418","(42.651481400000002, -73.754848499999994)"
"Capital-Saratoga","Albany","Pruyn House","Casparus Pruyn, his wife Ann, and their 8 children occupied this summer home which was built between 1825 and 1830.  There are currently 10 buildings on the Pruyn House Complex.  They include the Buhrmaster Barn, reconstructed and moved to the site in 1987, and the Verdoy Schoolhouse that was moved to the site in 1995.  Other structures include a smokehouse, potting shed, woodshed/privy building, carriage house, and well house.  Herb and flower gardens are focal points of the site.","42.7318426","-73.7786936","Arts and Culture","http;//www.pruynhouse.org","","Latham","207 Old Niskayuna Rd","NY","12110","518-783-1435","(42.7318426, -73.778693599999997)"
"Capital-Saratoga","Albany","Riverspark Cohoes Visitor Center","Located in the Historic Cohoes Music Hall, the center provides hands on exhibits and  photo collections of industrial life in Cohoes area.  The exhibits and programming provide tell the story of the Riverspark communities and their contributions to the Industrial Revolution through the eyes of workers.","42.7756413","-73.7017285","Innovation and Commerce","http;//www.riverspark.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/74.jpg","Cohoes","58 Remsen St","NY","12047","518-233-2117","(42.775641299999997, -73.701728500000002)"
"Capital-Saratoga","Albany","Schuyler Mansion State Historic Site","Built between 1761 and 1765, Schuyler Mansion is the home of Rev War Maj. Gen.l Philip J. Schuyler. Of the 4th generation of Schuylers in the Hudson Valley, Schuyler was respected for his military career, as a merchant, engineer, politician and diplomat. Son-in-law Alexander Hamilton spent hours at the mansion discussing military strategy and political philosophy with Schuyler. The family entertained Washington, Jefferson, Franklin, LaFayette, Talleyrand, and many other upper class visitors from abroad and from this continent","42.6417919","-73.759968","The Revolution","http;//www.nysparks.com","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/87.jpg","Albany","32 Catherine Street","NY","12202","518 463-8738","(42.641791900000001, -73.759968000000001)"
"Capital-Saratoga","Albany","Shaker Heritage Society","The mission of the Shaker Heritage Society is to celebrate and interpret Americas first Shaker settlement and to preserve it for the benefit of future generations.  The property includes nine remaining Shaker buildings including the Shaker Meeting House, herb garden, open fields, apple orchard, Ann Lee Pond nature preserve, and the Shaker cemetery where founder, Ann Lee is buried.","42.740543","-73.811445","Arts and Culture","http;//www.shakerheritage.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/88.jpg","Albany","25 Meeting House Road","NY","12211","518-456-7890","(42.740543000000002, -73.811445000000006)"
"Capital-Saratoga","Albany","Ten Broeck Mansion and Albany County Historical Society","The 213 year old Ten Broeck Mansion is the headquarters for the Albany County Historical Society.  In 1797-98, General Abraham Ten Broeck and his wife Elizabeth Van Rensselaer built this home after their Albany mansion burned. In 1775,  Ten Broeck served as a delegate to the Second Continental Congress and in 1777, as a general, he commanded the NY Militia at the famous Battle of Saratoga.  He also served as mayor of Albany and a member of the State Senate.","42.6582268","-73.7510952","Colonial History","http;//www.tenbroeckmansion.org","http;//fallgetaways.iloveny.com/GoogleFieldTrips/PTH/97.jpg","Albany","9 Ten Broeck Place","NY","12210","518-436-9826","(42.658226800000001, -73.751095199999995)"
