SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1
NY0026212,26TH WARD WASTEWATER TREATMENT PLANT,Surface,85.00,122-68 FLATLANDS AVE,BROOKLYN,NY,USA,12207,40.65,-73.87,"122-68 FLATLANDS AVE
BROOKLYN, NY 12207
(40.65, -73.87)"
NY0034771,ADAMS WWT FACILITY,Surface,0.45,LIBERTY ST,ADAMS,NY,USA,13605,43.80,-76.03,"LIBERTY ST
ADAMS, NY 13605
(43.80, -76.03)"
NY0020320,ADDISON - V STP,Surface,0.42,FRONT ST,ADDISON,NY,USA,14801,42.10,-77.22,"FRONT ST
ADDISON, NY 14801
(42.10, -77.22)"
NY0031003,AKRON SEWAGE TREATMENT PLANT,Surface,0.82,LEWIS RD @ KIBLER AVE,AKRON,NY,USA,14001,43.02,-78.50,"LEWIS RD @ KIBLER AVE
AKRON, NY 14001
(43.02, -78.50)"
NY0025747,ALBANY - C COMBINED SEWER OVERFLOWS,Surface,2.10,HUDSON RIVER,ALBANY,NY,USA,12207,42.64,-73.74,"HUDSON RIVER
ALBANY, NY 12207
(42.64, -73.74)"
NY0026875,ALBANY COUNTY SEWER DISTRICT - NORTH PLANT,Surface,35.00,1 CANAL ROAD SOUTH,MENANDS,NY,USA,12204,42.67,-73.72,"1 CANAL ROAD SOUTH
MENANDS, NY 12204
(42.67, -73.72)"
NY0026867,ALBANY COUNTY SEWER DISTRICT - SOUTH PLANT,Surface,29.00,209 CHURCH ST,ALBANY,NY,USA,12204,42.63,-73.76,"209 CHURCH ST
ALBANY, NY 12204
(42.63, -73.76)"
NY0028401,ALBION JOINT MUNICIPAL INDUSTRIAL STP,Surface,2.30,14740 DENSMORE ST,GAINES,NY,USA,,43.25,-78.16,"14740 DENSMORE ST
GAINES, NY
(43.25, -78.16)"
NY0021857,ALDEN SD #2 STP,Surface,0.02,FAIRVIEW & EAST ALAURA DR,ALDEN,NY,USA,14004,42.88,-78.57,"FAIRVIEW &amp; EAST ALAURA DR
ALDEN, NY 14004
(42.88, -78.57)"
NY0020541,ALDEN STP,Surface,0.65,W MAIN ST,ALDEN,NY,USA,14004,42.90,-78.50,"W MAIN ST
ALDEN, NY 14004
(42.90, -78.50)"
NY0110523,ALEXANDER - V STP,Surface,0.06,US RTE 20 & ST RTE 98 |SE OF INTERSECTION,ALEXANDER,NY,USA,14005,42.90,-78.25,"US RTE 20 &amp; ST RTE 98 |SE OF INTERSECTION
ALEXANDER, NY 14005
(42.90, -78.25)"
NY0022501,ALEXANDRIA BAY WWTP,Surface,0.75,35 ANTHONY ST,ALEXANDRIA BAY,NY,USA,13607,44.34,-75.91,"35 ANTHONY ST
ALEXANDRIA BAY, NY 13607
(44.34, -75.91)"
NY0022357,ALFRED WASTEWATER TREATMENT PLANT,Surface,0.98,198 N MAIN ST,ALFRED,NY,USA,14802,42.26,-77.77,"198 N MAIN ST
ALFRED, NY 14802
(42.26, -77.77)"
NY0031534,ALTAMONT - V STP,Surface,0.42,GUN CLUB RD,ALTAMONT,NY,USA,12009,42.70,-74.02,"GUN CLUB RD
ALTAMONT, NY 12009
(42.70, -74.02)"
NY0025950,AMHERST SD #16 STP,Surface,36.00,455 TONAWANDA CREEK RD,AMHERST,NY,USA,14228,43.04,-78.81,"455 TONAWANDA CREEK RD
AMHERST, NY 14228
(43.04, -78.81)"
NY0020290,AMSTERDAM - C WASTEWATER TREATMENT PLANT,Surface,10.00,QUIST RD,AMSTERDAM,NY,USA,12010,42.92,-74.16,"QUIST RD
AMSTERDAM, NY 12010
(42.92, -74.16)"
NY0262854,ANDES SEWAGE TREATMENT PLANT,Surface,0.06,5287 CO RTE 1,ANDES,NY,USA,13731,42.18,-74.79,"5287 CO RTE 1
ANDES, NY 13731
(42.18, -74.79)"
NY0026948,ARCADE STP,Surface,0.50,HURDVILLE RD,ARCADE,NY,USA,14009,42.53,-78.45,"HURDVILLE RD
ARCADE, NY 14009
(42.53, -78.45)"
NY0264008,ARTIFICIAL WETLAND WTS,Surface,0.01,US RTE 9W @ RED TOP RD,HIGHLAND,NY,USA,12528,41.75,-73.95,"US RTE 9W @ RED TOP RD
HIGHLAND, NY 12528
(41.75, -73.95)"
NY0263214,ASHLAND WASTEWATER TREATMENT PLANT,Surface,0.03,ALONG ST RTE 23 & CO RTE 63,ASHLAND,NY,USA,,42.29,-74.34,"ALONG ST RTE 23 &amp; CO RTE 63
ASHLAND, NY
(42.29, -74.34)"
NY0020877,ATHENS - V BRICKROW STP,Surface,0.02,WATER ST,ATHENS,NY,USA,12015,42.27,-73.79,"WATER ST
ATHENS, NY 12015
(42.27, -73.79)"
NY0020869,ATHENS - V  MAIN STP,Surface,0.40,WATER ST,ATHENS,NY,USA,12015,42.26,-73.80,"WATER ST
ATHENS, NY 12015
(42.26, -73.80)"
NY0021849,ATTICA WASTEWATER TREATMENT PLANT,Surface,1.40,122 PROSPECT ST,ATTICA,NY,USA,14011,42.87,-78.27,"122 PROSPECT ST
ATTICA, NY 14011
(42.87, -78.27)"
NY0021903,AUBURN - C STP,Surface,12.00,35 BRADLEY ST,AUBURN,NY,USA,13021,42.94,-76.59,"35 BRADLEY ST
AUBURN, NY 13021
(42.94, -76.59)"
