"SPDES_Permit_Number","Facility_Name","Ground_or_Surface","Average_Design_Hydraulic_Flow","Street","City","State","Country","Zip_Code","Latitude","Longitude","Location_1"
"NY0026212","26TH WARD WASTEWATER TREATMENT PLANT","Surface","85","122-68 FLATLANDS AVE","BROOKLYN","NY","USA","12207","40.65","-73.87","122-68 FLATLANDS AVEBROOKLYN, NY 12207(40.65, -73.87)"
"NY0034771","ADAMS WWT FACILITY","Surface","0.45","LIBERTY ST","ADAMS","NY","USA","13605","43.8","-76.03","LIBERTY STADAMS, NY 13605(43.80, -76.03)"
"NY0020320","ADDISON - V STP","Surface","0.42","FRONT ST","ADDISON","NY","USA","14801","42.1","-77.22","FRONT STADDISON, NY 14801(42.10, -77.22)"
"NY0031003","AKRON SEWAGE TREATMENT PLANT","Surface","0.82","LEWIS RD @ KIBLER AVE","AKRON","NY","USA","14001","43.02","-78.5","LEWIS RD @ KIBLER AVEAKRON, NY 14001(43.02, -78.50)"
"NY0025747","ALBANY - C COMBINED SEWER OVERFLOWS","Surface","2.1","HUDSON RIVER","ALBANY","NY","USA","12207","42.64","-73.74","HUDSON RIVERALBANY, NY 12207(42.64, -73.74)"
"NY0026875","ALBANY COUNTY SEWER DISTRICT - NORTH PLANT","Surface","35","1 CANAL ROAD SOUTH","MENANDS","NY","USA","12204","42.67","-73.72","1 CANAL ROAD SOUTHMENANDS, NY 12204(42.67, -73.72)"
"NY0026867","ALBANY COUNTY SEWER DISTRICT - SOUTH PLANT","Surface","29","209 CHURCH ST","ALBANY","NY","USA","12204","42.63","-73.76","209 CHURCH STALBANY, NY 12204(42.63, -73.76)"
"NY0028401","ALBION JOINT MUNICIPAL INDUSTRIAL STP","Surface","2.3","14740 DENSMORE ST","GAINES","NY","USA",,"43.25","-78.16","14740 DENSMORE STGAINES, NY(43.25, -78.16)"
"NY0021857","ALDEN SD #2 STP","Surface","0.02","FAIRVIEW  and  EAST ALAURA DR","ALDEN","NY","USA","14004","42.88","-78.57","FAIRVIEW  and amp; EAST ALAURA DRALDEN, NY 14004(42.88, -78.57)"
"NY0020541","ALDEN STP","Surface","0.65","W MAIN ST","ALDEN","NY","USA","14004","42.9","-78.5","W MAIN STALDEN, NY 14004(42.90, -78.50)"
"NY0110523","ALEXANDER - V STP","Surface","0.06","US RTE 20  and  ST RTE 98 |SE OF INTERSECTION","ALEXANDER","NY","USA","14005","42.9","-78.25","US RTE 20  and amp; ST RTE 98 |SE OF INTERSECTIONALEXANDER, NY 14005(42.90, -78.25)"
"NY0022501","ALEXANDRIA BAY WWTP","Surface","0.75","35 ANTHONY ST","ALEXANDRIA BAY","NY","USA","13607","44.34","-75.91","35 ANTHONY STALEXANDRIA BAY, NY 13607(44.34, -75.91)"
"NY0022357","ALFRED WASTEWATER TREATMENT PLANT","Surface","0.98","198 N MAIN ST","ALFRED","NY","USA","14802","42.26","-77.77","198 N MAIN STALFRED, NY 14802(42.26, -77.77)"
"NY0031534","ALTAMONT - V STP","Surface","0.42","GUN CLUB RD","ALTAMONT","NY","USA","12009","42.7","-74.02","GUN CLUB RDALTAMONT, NY 12009(42.70, -74.02)"
"NY0025950","AMHERST SD #16 STP","Surface","36","455 TONAWANDA CREEK RD","AMHERST","NY","USA","14228","43.04","-78.81","455 TONAWANDA CREEK RDAMHERST, NY 14228(43.04, -78.81)"
"NY0020290","AMSTERDAM - C WASTEWATER TREATMENT PLANT","Surface","10","QUIST RD","AMSTERDAM","NY","USA","12010","42.92","-74.16","QUIST RDAMSTERDAM, NY 12010(42.92, -74.16)"
"NY0262854","ANDES SEWAGE TREATMENT PLANT","Surface","0.06","5287 CO RTE 1","ANDES","NY","USA","13731","42.18","-74.79","5287 CO RTE 1ANDES, NY 13731(42.18, -74.79)"
